user_id,productid,rating
1663,tvc231494,5
318,tvc155695,4
1996,app140246,3
418,msh018260,3
1186,app202985,3
6,mcl211027,4
384,app255163,5
1503,acs162670,3
1669,acs098958,3
1620,mcl160703,4
1100,msh202774,3
1731,spf239581,5
940,msc149751,5
54,app250928,5
1275,wcl077670,3
769,msh091291,3
1779,kfa047430,3
76,wcl011234,3
988,acs034132,4
751,mcl063679,5
832,acs225655,3
663,cmb119534,5
552,msh031701,4
1617,wcl075155,4
928,acs193410,4
1050,tbp039545,3
1533,cmb216388,4
106,hkt070694,5
930,wcl204128,3
1430,wcl083894,3
1197,str029629,5
1338,str214164,5
1105,acs249028,5
1568,str040486,4
1002,app047764,5
1466,tbp030017,3
1096,str135246,3
1682,app082490,3
934,str053520,5
814,wcl189539,5
1787,acs151267,5
1162,wcl104537,4
1578,bth187111,4
1001,wcl158617,4
523,tvc070141,5
991,cmb171126,5
1111,wcl000354,3
410,tvc176932,4
1766,spf192426,5
58,msh050205,5
724,acs022834,5
1887,acs220945,3
1793,msh240874,4
64,wcl207771,5
170,bth143073,5
1168,acs171080,3
514,acs140201,5
517,mcl136246,5
1776,tvc201407,4
1530,hkt201750,3
322,wcl057384,4
1524,str215672,3
1670,app239059,3
1043,wsh094605,5
1651,tvc173347,5
576,acs135008,3
131,msh003644,4
450,ggf246005,3
978,msh220434,4
1665,msh045861,5
1269,mcl151454,4
1733,wcl043158,3
247,tvc134168,4
1702,tvc248365,5
1646,tvc065731,5
1204,spf232510,5
903,app161048,3
1340,app162288,5
1154,acs019687,4
646,wcl169783,3
278,wcl034555,3
297,acs220065,5
1516,wcl078563,5
1392,msh259260,4
374,mcl005563,4
12,wcl207954,5
4,wcl130406,5
813,acs144640,4
743,wcl099711,4
407,tvc172783,4
1155,bth098954,3
1206,bth089873,5
1991,wcl071486,3
241,kfa255647,4
1202,tvc264044,5
1672,tvc253452,3
1840,acs163679,5
1079,acs081754,4
164,cmb035679,4
180,mcl172487,3
1401,bth137896,5
1239,tvc033639,4
1387,msh128551,3
371,acs071810,4
294,bth114682,5
1399,tvc259012,4
164,tvc045922,3
1771,wcl031501,4
531,acs129784,5
423,acs125770,5
1414,acs252059,4
320,msh101035,4
1714,acs182705,4
490,hkt042706,5
944,acs257761,5
1288,spf085504,5
1619,msh031792,4
994,wcl021100,3
829,acs223724,3
1394,mcl085006,4
827,acs206267,3
1628,msh189274,4
1463,wsh178468,3
1688,acs014228,5
1067,wcl185853,5
1665,acs116214,3
830,bth063364,4
350,wcl123179,4
1636,acs190419,4
1508,acs043894,4
93,acs168953,3
648,wcl167659,5
241,str184577,5
1051,tvc197270,4
1841,msh113752,5
1672,str007682,3
1982,wcl197333,4
1274,acs015571,3
524,str017704,5
93,tvc149179,5
1516,acs248283,4
185,wcl264345,5
1060,wcl022761,4
299,kfa086954,4
1845,mcl253051,3
129,ind215580,4
1164,hkt092867,5
166,str184358,4
1070,acs215737,3
1028,tvc013521,3
271,app183367,5
1042,msh130434,3
595,wcl090519,4
1993,tvc118629,4
1363,acs015365,4
660,acs199292,5
545,acs145862,5
1398,tvc155469,3
432,wcl060265,3
675,app131791,5
1143,mcl179334,4
1545,msh231259,5
54,ggf153700,3
1118,mcl099960,5
1205,str087381,3
1044,acs001554,5
176,mcl129566,4
1956,msh257857,3
1740,str191322,4
1120,mcl214487,4
1205,msh158738,4
1039,wcl239045,5
64,mcl130718,4
322,hkt197035,4
940,acs162670,4
811,hkt047493,3
604,app166997,3
1799,app177815,4
444,str046550,5
57,wcl252335,3
1875,wcl118934,5
1235,msh137331,3
1118,tbp229851,4
1212,acs032171,4
1589,wcl025503,4
1089,wcl208345,4
331,tbp135257,4
540,acs042873,4
1453,mcl061568,3
1481,wcl029210,5
1896,app144245,3
1890,wcl047713,4
1078,tvc110022,4
1873,tvc060426,3
918,msh220094,5
173,acs209265,3
194,app038485,3
363,acs213518,5
2000,wcl244779,5
454,wcl168751,5
949,wcl006096,4
1907,spf159045,4
1261,acs026289,5
1097,bth036793,4
1589,tvc102991,5
156,bth076739,3
209,str229694,3
509,wcl198658,5
910,acs084837,3
1859,mcl108743,5
851,spf090868,4
337,wcl148239,5
287,tvc169356,3
1826,mcl181627,5
1142,wcl012609,4
743,tvc055220,5
1231,str088277,3
568,acs142133,4
54,kfa166523,5
43,str051849,5
728,acs165520,3
551,str104950,4
283,acs228473,4
1997,app073406,4
90,acs174011,4
76,hkt211529,3
446,mcl103367,3
914,mcl105545,3
1898,mcl010950,3
1903,str068828,5
532,str164677,5
1448,msh152129,5
1393,msh034879,4
760,str110245,3
707,bag073770,4
1699,ind041669,4
216,wcl003287,3
1707,acs062378,5
467,acs142066,3
1370,acs230291,4
97,wcl101199,5
792,acs087537,4
525,kfa037833,3
1823,acs254391,5
1829,hkt252636,4
1494,mcl190466,5
557,acs183140,4
904,app020822,4
1883,msh265441,5
1763,bth190341,5
1674,acs052277,4
6,acs048179,5
726,wcl243609,5
1123,mcl028172,4
61,msh171158,4
191,kfa133639,4
675,acs051635,5
724,acs178023,5
1856,tvc058202,4
1257,str242249,3
704,acs134878,4
785,acs037975,3
1589,acs184137,3
1654,mcl229588,5
448,mcl150452,5
331,acs116552,4
1233,msh000306,5
1814,hkt177429,3
1810,wcl023212,5
583,str038789,3
187,wcl100444,5
1506,tvc187848,5
819,bth205140,5
102,acs215142,3
596,acs236885,5
315,wcl200903,4
875,wcl220610,5
36,msc234126,5
696,wcl045932,4
1683,wcl080783,3
1383,tvc125927,4
1995,acs208181,4
193,mcl206297,5
633,msh130995,5
1721,cmb135437,4
1268,mcl153544,3
997,kfa138114,5
439,tvc124788,5
284,kfa243643,3
326,wcl025321,3
417,wcl011421,3
1316,wcl087734,3
1808,hkt246780,3
83,app009759,3
265,spf168797,5
1016,app089697,4
504,bag131994,4
1256,tvc028507,5
1223,acs112475,4
1504,app222221,5
484,msh177211,5
555,str055986,4
1448,str107668,5
1578,tvc034195,5
1351,acs239934,5
179,acs121640,4
1658,cmb071024,3
1355,tvc047168,5
1120,wcl141645,5
983,tvc134168,5
156,cmb137211,3
1408,str113482,5
627,acs035537,3
1843,app232398,5
1586,acs208578,3
98,str080572,3
222,tvc113504,3
540,acs186411,5
994,tvc158743,4
1092,acs035911,4
1382,ind033825,3
687,acs230196,4
271,spf259178,3
1819,mcl047749,3
1984,wsh160436,3
27,tvc247150,3
989,acs232831,3
1361,tbp212523,4
724,wcl022402,5
116,acs149268,3
869,msh144116,3
889,tvc017720,5
1346,wcl229766,5
1847,tvc031584,3
1154,msh124831,3
817,wcl036047,4
984,spf251739,5
986,spf095602,4
428,app085380,4
1596,wcl043390,3
92,tvc230348,4
86,app100575,3
1453,msh240179,4
1503,acs134575,4
1846,mcl203654,4
1388,acs121690,4
895,wcl027254,4
1691,wcl199372,4
737,wcl117425,4
421,app069765,4
505,wcl009462,4
386,bth189318,3
142,tvc009312,3
1208,tbp258941,3
1237,acs069360,5
1597,mcl128430,5
453,wcl142998,4
156,acs118566,4
1918,acs014820,5
74,acs096733,3
335,acs009256,5
362,wcl078257,3
1787,acs111552,3
481,wcl114064,3
740,str200032,5
1497,tvc191301,4
1703,wcl214030,5
217,ind124768,5
943,acs071648,5
1114,acs255833,3
451,wcl192402,4
1204,wcl235134,5
595,str193935,4
1460,mcl263519,5
1689,spf001367,5
241,mcl128820,3
62,wcl069131,3
1460,mcl142647,4
561,msh042251,5
884,wcl034976,4
182,hkt127707,3
430,hkt195527,3
1640,tvc065148,5
175,hkt230534,3
123,tvc116460,5
538,app188145,5
1949,wcl215664,4
1534,cmb119994,5
1995,kfa116375,5
1998,msh175880,4
650,acs142511,4
1533,msh120746,5
432,tbp219932,4
1266,acs157353,3
1992,tvc102042,5
837,wcl078671,3
1380,acs168454,4
271,mcl206705,5
1871,wcl244055,3
376,tvc181310,3
466,acs225795,5
1160,bth123879,3
398,app202184,3
1158,acs252125,5
1201,acs265503,4
153,acs237250,5
169,mcl146166,5
1324,acs125099,4
100,msh141922,5
1837,mcl013094,5
669,kfa013586,3
695,tvc049042,5
989,tvc175107,4
379,bth111503,5
1547,wcl090189,4
1417,tbp051274,3
1708,wcl131792,4
542,hkt225883,3
1794,msh261641,5
905,wcl211559,3
1843,acs146496,3
427,mcl010926,4
1046,tvc026247,4
629,hkt189511,4
1218,mcl197525,3
1234,acs023574,5
936,wcl122981,3
1810,tvc058559,5
1223,wcl188259,4
780,acs200458,3
136,tvc000761,5
72,msh008836,5
27,acs194049,5
1108,msh244221,3
520,acs132593,3
613,bag251870,3
757,wcl255088,3
1408,acs256253,3
912,wcl222880,3
957,mcl008616,3
1530,wcl107938,5
872,tbp113082,5
1389,msh190844,3
268,msh070498,3
1828,acs086459,4
826,hkt243488,5
1926,app010654,3
1753,acs188374,3
773,acs190696,5
1297,msh074309,5
744,ggf117040,5
133,bth153468,4
682,wcl038277,4
954,tvc222119,4
664,mcl171838,5
861,msh044396,5
250,acs031777,3
1352,wcl086033,4
1795,mcl062776,3
808,tvc018082,4
421,tvc201583,5
943,msc011148,5
294,tvc188554,3
962,wcl070702,4
1911,acs128095,4
1129,tvc177951,3
1287,acs215971,5
1425,str052075,3
223,acs220099,5
1728,tvc262008,4
388,msh220608,4
397,wcl051146,3
1313,hkt256342,4
12,wcl094647,4
1457,wcl042907,3
336,msh022132,4
1563,acs075804,3
511,acs206248,5
106,msc087822,4
672,msh064665,5
450,mcl130381,3
1315,ind203433,3
1902,app150368,4
675,app066564,5
509,acs188171,3
1067,ind125218,5
624,acs044819,5
1143,mcl105500,4
438,tvc004387,5
1894,msh173397,5
371,acs219358,5
1776,acs064190,3
763,acs003512,3
162,wcl157860,4
1095,wcl183901,3
1471,hkt209285,3
1705,acs252879,4
1316,wcl229488,4
1842,msh075408,3
1770,mcl130718,5
1291,msh222099,3
1920,tvc101343,3
358,pet204931,4
60,msh102419,5
119,app260659,5
