userid,productid,rating
64281,tvc231494,5
95879,tvc155695,4
52252,app140246,3
77309,msh018260,3
57782,app202985,3
88892,mcl211027,4
59264,app255163,5
92602,wcl056273,4
41172,acs162670,3
31846,acs098958,3
19020,mcl160703,4
25972,msh202774,3
58429,spf239581,5
32222,msc149751,5
55065,tvc080218,3
30668,app250928,5
18089,wcl077670,3
93046,msh091291,3
70215,kfa047430,3
19288,wcl011234,3
35262,acs034132,4
59934,mcl063679,5
54586,acs090680,3
28305,acs225655,3
55979,cmb119534,5
78276,wcl005869,5
75051,msh031701,4
15999,wcl075155,4
13631,acs193410,4
42896,tbp039545,3
85050,cmb216388,4
88661,hkt070694,5
15030,wcl204128,3
33869,wcl083894,3
29276,str029629,5
35466,str214164,5
37133,acs249028,5
80677,str040486,4
34497,app047764,5
87847,tbp030017,3
47931,str135246,3
64878,app082490,3
36175,str053520,5
22942,wcl189539,5
97931,acs151267,5
15722,wcl104537,4
30168,bth187111,4
66633,wcl158617,4
60843,tvc070141,5
70412,cmb171126,5
90314,wcl000354,3
47080,tvc176932,4
30498,spf192426,5
62666,msh050205,5
68946,acs022834,5
71492,acs220945,3
98467,msh240874,4
95299,wcl207771,5
31437,bth143073,5
89264,acs171080,3
62981,acs140201,5
82309,mcl136246,5
55167,tvc201407,4
20793,str063401,4
47023,hkt201750,3
57455,wcl057384,4
84979,tvc203392,4
43032,str215672,3
61386,app239059,3
35262,kfa122122,4
36319,wsh094605,5
32907,tvc173347,5
43123,acs135008,3
30467,msh003644,4
61157,ggf246005,3
44716,msh220434,4
19953,msh045861,5
16115,mcl151454,4
98439,wcl043158,3
39592,tvc134168,4
75622,tvc248365,5
57634,tvc065731,5
74016,spf232510,5
21221,tvc072386,3
88275,app161048,3
91567,app162288,5
80997,acs019687,4
95419,wcl169783,3
67919,wcl034555,3
67306,acs220065,5
72524,wcl078563,5
81177,msh259260,4
56789,mcl005563,4
90202,wcl207954,5
76150,wcl130406,5
10290,acs144640,4
74427,wcl099711,4
85191,tvc172783,4
89766,bth098954,3
62408,bth089873,5
54238,str220637,3
94913,wcl071486,3
37349,kfa255647,4
13422,tvc264044,5
25016,tvc253452,3
94069,acs163679,5
12094,acs081754,4
11424,wcl184050,5
25837,cmb035679,4
49125,acs045520,3
16868,mcl172487,3
30980,bth137896,5
14783,tvc033639,4
79977,msh128551,3
19983,acs071810,4
20213,bth114682,5
45893,tvc259012,4
25837,tvc045922,3
24303,wcl031501,4
88619,acs129784,5
15300,acs125770,5
85404,acs252059,4
20484,msh101035,4
89076,acs182705,4
55524,hkt042706,5
96316,acs257761,5
24687,spf085504,5
60182,msh031792,4
70763,wcl021100,3
74060,acs223724,3
54170,mcl085006,4
89474,acs206267,3
90903,msh189274,4
72316,wsh178468,3
51676,acs014228,5
98902,wcl185853,5
19953,acs116214,3
39369,bth063364,4
59790,wcl123179,4
58425,acs190419,4
17169,acs043894,4
73950,acs168953,3
35569,wcl167659,5
37349,str184577,5
17474,tvc197270,4
32922,msh113752,5
22963,msh094977,3
25016,str007682,3
36190,wcl197333,4
68859,acs015571,3
60673,wcl113031,3
74642,str017704,5
73950,tvc149179,5
72524,acs248283,4
35061,wcl264345,5
70189,wcl022761,4
36579,kfa086954,4
50103,mcl253051,3
29095,ind215580,4
92602,hkt092867,5
35095,acs209179,4
61935,str184358,4
69324,tvc059342,3
84979,acs215737,3
56995,app078300,3
40423,tvc013521,3
54601,app183367,5
77463,msh130434,3
81532,wcl090519,4
61384,tvc118629,4
47129,acs015365,4
35095,acs199292,5
96676,acs145862,5
54635,tvc155469,3
58164,wcl060265,3
25779,acs169663,3
61742,app131791,5
22823,mcl179334,4
26971,msh231259,5
30668,ggf153700,3
37435,mcl099960,5
24417,str087381,3
50214,acs001554,5
28288,mcl129566,4
37055,msh257857,3
10122,str191322,4
43080,mcl214487,4
24417,msh158738,4
53133,wcl239045,5
95299,mcl130718,4
57455,hkt197035,4
32222,acs162670,4
59974,hkt047493,3
85810,app166997,3
55272,app177815,4
39357,str046550,5
34641,wcl252335,3
85873,wcl118934,5
62635,msh137331,3
37435,tbp229851,4
85855,acs032171,4
26832,wcl025503,4
44005,wcl208345,4
22622,tbp135257,4
88297,acs042873,4
75142,mcl061568,3
44578,wcl029210,5
11217,app144245,3
55883,wcl047713,4
60979,tvc110022,4
50360,tvc060426,3
71370,msh220094,5
62876,acs209265,3
40548,app038485,3
72175,acs213518,5
63475,wcl244779,5
96927,wcl168751,5
49373,wcl006096,4
61834,spf159045,4
94653,acs026289,5
90389,bth036793,4
26832,tvc102991,5
32903,bth076739,3
81004,msh210196,5
11206,str229694,3
59082,wcl198658,5
42535,acs084837,3
86111,mcl108743,5
34801,spf090868,4
77711,wcl148239,5
77022,tvc169356,3
78276,mcl181627,5
14907,wcl012609,4
74427,tvc055220,5
60342,str088277,3
13545,acs142133,4
30668,kfa166523,5
97242,str051849,5
24583,acs165520,3
35796,str104950,4
89304,acs228473,4
69123,app073406,4
94016,acs174011,4
19288,hkt211529,3
57182,mcl103367,3
83445,mcl105545,3
60123,mcl010950,3
10300,str068828,5
56032,str164677,5
99880,msh152129,5
87222,msh034879,4
75157,str110245,3
77552,bag073770,4
51434,ind041669,4
66995,wcl003287,3
22417,acs062378,5
86739,acs142066,3
38502,acs230291,4
38675,wcl101199,5
23519,acs087537,4
82736,kfa166753,5
12397,wcl096490,4
11527,kfa037833,3
86381,acs254391,5
26497,hkt252636,4
72010,mcl190466,5
26811,tvc162098,4
96117,acs183140,4
28394,app020822,4
51553,msh265441,5
56166,bth190341,5
83003,acs052277,4
88892,acs048179,5
72028,tvc114787,3
81404,wcl243609,5
41019,str162960,4
83057,mcl028172,4
46697,msh171158,4
35715,kfa133639,4
61742,acs051635,5
68946,acs178023,5
46732,tvc058202,4
87341,str242249,3
77837,acs134878,4
95522,acs037975,3
26832,acs184137,3
31661,mcl229588,5
92693,mcl150452,5
22622,acs116552,4
15526,msh000306,5
83935,hkt177429,3
29653,wcl023212,5
80215,str038789,3
67051,wcl100444,5
80533,tvc187848,5
75814,bth205140,5
49380,acs215142,3
84698,acs236885,5
33195,wcl200903,4
83593,wcl220610,5
44068,msc234126,5
37918,wcl045932,4
50843,wcl080783,3
39166,tvc125927,4
40258,acs208181,4
34478,mcl206297,5
97010,msh130995,5
60904,cmb135437,4
14294,mcl153544,3
84191,kfa138114,5
81797,tvc124788,5
50815,kfa243643,3
88702,wcl025321,3
99273,wcl011421,3
18596,wcl087734,3
96670,hkt246780,3
60438,app009759,3
82148,spf168797,5
81446,app089697,4
95654,bag131994,4
48242,tvc028507,5
60053,acs112475,4
73839,app222221,5
81004,msh177211,5
75858,str055986,4
99880,str107668,5
30168,tvc034195,5
66954,acs239934,5
68193,acs121640,4
85872,cmb071024,3
28398,tvc047168,5
43080,wcl141645,5
77001,tvc134168,5
32903,cmb137211,3
49189,str113482,5
22514,acs035537,3
50403,app232398,5
69477,acs208578,3
52182,str080572,3
80192,tvc113504,3
88297,acs186411,5
70763,tvc158743,4
37122,acs035911,4
48042,ind033825,3
92319,acs230196,4
54601,spf259178,3
99687,mcl047749,3
55059,wsh160436,3
73759,tvc247150,3
23539,acs232831,3
74804,tbp212523,4
68946,wcl022402,5
63888,acs149268,3
90863,msh144116,3
38853,tvc224172,4
53213,tvc017720,5
58097,wcl229766,5
32238,tvc031584,3
80997,msh124831,3
89484,tvc244679,4
43686,wcl036047,4
75552,spf251739,5
48626,spf095602,4
78186,app085380,4
72683,wcl043390,3
81616,tvc230348,4
38853,app100575,3
75142,msh240179,4
41172,acs134575,4
65042,mcl203654,4
19974,acs121690,4
45478,wcl027254,4
10150,wcl199372,4
55165,wcl117425,4
99642,app069765,4
77712,wcl009462,4
58377,bth189318,3
93350,tvc009312,3
34311,tbp258941,3
61558,acs069360,5
38308,mcl128430,5
78053,wcl142998,4
32903,acs118566,4
98540,acs014820,5
26992,acs096733,3
13643,acs009256,5
89191,wcl078257,3
84082,wcl033131,3
97931,acs111552,3
28578,wcl114064,3
98552,str200032,5
39716,tvc191301,4
11346,wcl214030,5
36369,ind124768,5
87886,acs071648,5
23371,wcl142544,3
70547,acs255833,3
31956,wcl192402,4
74016,wcl235134,5
81532,str193935,4
13733,mcl263519,5
66026,spf001367,5
37349,mcl128820,3
61995,wcl069131,3
13733,mcl142647,4
97941,msh042251,5
61398,wcl034976,4
20665,hkt127707,3
10048,hkt195527,3
40130,tvc065148,5
25796,hkt230534,3
78027,tvc116460,5
49046,app188145,5
17171,wcl215664,4
74584,cmb119994,5
40258,kfa116375,5
33104,kfa261660,3
98713,msh175880,4
99037,tvc202954,3
55131,acs142511,4
85050,msh120746,5
58164,tbp219932,4
46416,acs157353,3
42415,tvc102042,5
53232,wcl078671,3
49508,acs168454,4
54601,mcl206705,5
10927,wcl244055,3
44310,tvc181310,3
63233,acs225795,5
91685,bth123879,3
63737,app202184,3
57228,acs252125,5
78372,acs265503,4
71720,acs237250,5
50056,mcl146166,5
42439,acs125099,4
48585,msh141922,5
85987,mcl013094,5
58571,kfa013586,3
87667,tvc049042,5
23539,tvc175107,4
55419,bth111503,5
53150,wcl090189,4
23686,tbp051274,3
43571,wcl131792,4
16836,hkt225883,3
75583,msh261641,5
34705,wcl211559,3
50403,acs146496,3
20690,mcl010926,4
98033,wcl197706,3
84804,wcl253020,4
30128,tvc026247,4
90100,hkt189511,4
42916,mcl197525,3
75157,wcl009382,4
31825,acs023574,5
63179,wcl122981,3
29653,tvc058559,5
60053,wcl188259,4
59563,acs200458,3
37260,tvc000761,5
91335,msh008836,5
73759,acs194049,5
60718,msh244221,3
32020,acs132593,3
88685,bag251870,3
67560,wcl255088,3
49189,acs256253,3
48920,wcl222880,3
13447,mcl008616,3
47023,wcl107938,5
45597,tbp113082,5
94630,msh190844,3
55428,msh070498,3
96296,acs086459,4
18740,hkt243488,5
42285,app010654,3
55994,acs188374,3
71568,acs190696,5
59666,msh074309,5
